id,name,is_album,artist,label,info,release_date,credit,url,slug,created_at,updated_at,user_id
1,Se Um Dia Lembrar,false,Willian San'per,,,2011-01-01,"[""Backing Vocals""]",https://music.youtube.com/watch?v=BMhKI1vpBd4,se-um-dia-lembrar,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
2,Par Ou Impar,true,Kleiton & Kledir,Biscoito Fino,Recorded at Visom Digital Studios,2011-11-19,"[""Assistant Engineer""]",https://open.spotify.com/album/3vvHhUtoGJidta8rcGyqGM,par-ou-impar,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
3,Stop Waiting For Me Now (Versão Guerra),false,Single Parents,Balaclava Records,"",2012-02-19,"[""Remixer""]",,stop-waiting-for-me-now-versao-guerra,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
4,Full Of Life (R.B.G),false,Holger,Trama,"",2012-09-12,"[""Remixer""]",,full-of-life-r-b-g,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
5,Speedrun,true,Rebello,40% Foda/Maneirissimo,,2018-11-07,"[""Mixing engineer""]",https://open.spotify.com/album/59ZS4m2tTSYjgjRJvCPvVu?si=f324191c42ec49dd,speedrun,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
6,Tudo Pode Acontecer,true,Filipe Alvim,Pug Records,,2018-11-07,"[""Producer""]",https://open.spotify.com/album/34KsETlOClFxZ0TyWAzsKt?si=f5813bf003e44951,tudo-pode-acontecer,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
7,Proibidão (Repetentes 2008 Remix),false,Renato Cohen & Rocco Sledge,Massa Records,"",2019-04-23,"[""Remixer""]",https://open.spotify.com/track/5czjAkUP6DYOtD5yRxh65u,proibidao-repetentes-2008-remix,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
8,As Velas da Cantareira (DJ Guerrinha Mix),false,Séculos Apaixonados,Alliance Upholstery,"",2019-05-01,"[""Remixer""]",https://allianceupholstery.bandcamp.com/track/seculos-apaixonados-as-velas-da-cantareira-dj-guerinha-remix,as-velas-da-cantareira-dj-guerrinha-mix,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
9,2,true,Lifted,PAN,,2019-06-07,"[""Musician""]",https://lifted-1.bandcamp.com/album/2,2,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
10,Sexy Savannah (Repetentes 2008 Remix),false,Jonas Sá,Risco,"",2019-09-20,"[""Remixer""]",https://open.spotify.com/track/2aNdYBRx7hHlTeYUQWqjun,sexy-savannah-repetentes-2008-remix,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
11,Tem Conserto,true,Clarice Falcão,,,2019-06-13,"[""Mixing Engineer""]",https://open.spotify.com/album/0R9iQyyNp2vTvP9OFFgJfx?si=9716439536aa4cc3,tem-conserto,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
12,Eu Me Lembro,true,Clarice Falcão,,,2020-03-20,"[""Mixing Engineer""]",https://open.spotify.com/album/5RvUf1maBnxrvLLYV0vFxS?si=aba4be5f844945d3,eu-me-lembro,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
13,BFF (D.I.R. 119 BPM Dub),false,TYV,Gop Tun,"",2020-05-22,"[""Remixer""]",https://goptun.bandcamp.com/track/bff-d-i-r-119-bpm-dub,bff-d-i-r-119-bpm-dub,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
14,Flying Nine (Dara) (Repetentes 2008 Remix),false,John Zieman,Confuso Editions,"",2020-07-02,"[""Remixer""]",https://confusoeditions.bandcamp.com/track/flying-nine-dara-repetentes-2008-remix,flying-nine-dara-repetentes-2008-remix,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
15,Circuit Break,false,Noporn,,,2020-11-27,"[""Mixing Engineer""]",https://open.spotify.com/track/1BQlYhEleM3ugU3p4AH1Sy?si=9dc9b858e05d4b42,circuit-break,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
16,Monsters In The Dark (Repetentes 2008 Remix),false,Day Out Of Time,Karuana,"",2020-11-22,"[""Remixer""]",https://open.spotify.com/track/6bdl7ziTTb0S3y4YSCN9sl,monsters-in-the-dark-repetentes-2008-remix,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
17,Deixa Tudo Fluir (Guerrinha's Deixa o Orgão Solar Mix),false,Saidêra,Let's Play House,"",2021-01-27,"[""Remixer""]",https://lphnyc.bandcamp.com/track/deixa-tudo-fluir-guerrinhas-deixa-o-rg-o-solar-mix,deixa-tudo-fluir-guerrinha-s-deixa-o-orgao-solar-mix,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
18,Sim,false,Noporn,,,2021-04-16,"[""Mixing engineer""]",https://open.spotify.com/album/5CIyFdCFNFLvubMRjg6POG?si=87074d45ab074324,sim,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
19,Purplelight Beat,false,Lifted,Future Times,Released on 3.2 EP,2021-05-21,"[""Musician""]",https://futuretimes.bandcamp.com/track/purplelight-beat,purplelight-beat,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
20,Em Coro,true,Bene,,,2022-03-10,"[""Producer"", ""Mixing engineer""]",https://open.spotify.com/album/11C8OXaZuPbUytgbfWT5bo?si=2934a2e62f964c68,em-coro,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
21,Linha do Tempo,false,Alma Solar,,,2022-03-10,"[""Producer"", ""Mixing Engineer""]",https://open.spotify.com/track/3OhDzMPuEQArNHRD4ZODXk?si=eab4f255941948a9,linha-do-tempo,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
22,Más Linguas,true,Holger,,,2023-07-14,"[""Producer""]",https://open.spotify.com/album/0PRKUbWTY6GxYSEexWXEcQ,mas-linguas,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
23,Dimensão,false,Clarice Falcão,,,2023-08-04,"[""Producer""]",https://open.spotify.com/track/2oaslKJAsph4OgV5jYmi7D,dimensao,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
24,Rio de Janeiro Gotham City,false,Vitor Brauer,,,2024-01-04,"[""Keyboard"", ""Bass""]",https://open.spotify.com/track/1G5sJk02m5Cw9XtNN2GlV0,rio-de-janeiro-gotham-city,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
25,Mistério,false,Henrique Ludgério,,,2024-01-19,"[""Mixing Engineer""]",https://open.spotify.com/track/74IbnJ2DaOh4ZNnWZlm6xI?si=ad17c2a05a0f4793,misterio,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
26,Resquicios de Uma Era,true,Alma Solar,,,2024-08-24,"[""Producer"", ""Mixing Engineer"", ""Keyboards""]",https://open.spotify.com/album/034pu5mG1k3dVNKQ1341sL,resquicios-de-uma-era,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
27,12,false,Hannah Maria Montenegro,,,2024-11-01,"[""Mixing Engineer""]",https://open.spotify.com/track/0FAZYGssV0m9yW6x2mRLBN?si=dd970c056ce34359,12,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
28,Como Eu Me Sinto As Vezes,false,Hannah Maria Montenegro,,,2024-11-01,"[""Mixing Engineer""]",https://open.spotify.com/track/1QYDiic1mK7xZBjsnXxl9n?si=08df853eba4c4996,como-eu-me-sinto-as-vezes,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
