id,name,company,info,year,kind,url,slug,created_at,updated_at,user_id
1,...E Ninguem Cala!,Botafogo,Autoria de trilha original para DVD promocional.,2012,Ad,,e-ninguem-cala,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
2,Brasileirinhos Primavera/Verão,Malwee,Autoria de trilha original para DVD promocional.,2012,Ad,https://vimeo.com/218399740,brasileirinhos-primavera-verao,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
3,As Canalhas,GNT,Autoria da trilha original da primeira temporada junto ao estúdio Maravilha8 de Berna Ceppas.,2013,Film,https://vimeo.com/65848510,as-canalhas,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
4,Mão Só Há Uma,Anna Muyalert,Autoria da trilha original junto ao estúdio Maravilha8 de Berna Ceppas. Filme de Anna Muylaert,2014,Film,,mao-so-ha-uma,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
5,Vinhetas,Globo News,"Vinhetas de 5, 10 e 15 segundos em slots comerciais.",2015,Ad,https://vimeo.com/211229654,vinhetas,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
6,Menos 30 Fest,Globo,"Confecção de tema original, mixagem e finalização.",2017,Ad,https://vimeo.com/262300770,menos-30-fest,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
7,Profissionais do Ano,Globo,"Confecção de tema original, mixagem e finalização.",2017,Ad,https://vimeo.com/262298052,profissionais-do-ano,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
8,Desinfluenciador Digital,Desinfluenciador Digital,Confecção de tema original.,2017,Ad,https://vimeo.com/293246358,desinfluenciador-digital,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
9,Roar: City Rampage,Campus Studio,Confecção de 2 temas originais e efeitos sonoros.,2018,Game,,roar-city-rampage,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
10,Estagiar,Globo,"Confecção de tema original, mixagem e finalização.",2018,Ad,https://vimeo.com/293246598,estagiar,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
11,Arp,Grupo Inn,Confecção de 10 horas de trilha original para os corredores dos andares do hotel Arpoador Inn. Parte da trilha fora lançada no projeto Cavalcantissimos como “Os Corredores”.,2019,Event,,arp,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
12,Feras,MTV,Confecção de trilha original (diagética e não diagética) de todos os 13 episódios da primeira temporada.,2019,Film,https://vimeo.com/402176702,feras,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
13,Super Eficiente,Campus Studio,Confecção de 6 temas originais. Parte dos temas lançado em Cavalcantissimos “Fazendo do Racionamento Um Esporte”,2019,Game,"",super-eficiente,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
14,Gato Vivo,Nicolas Thome Zeitune,Confecção de trilha original para curta-metragem. Filme por Nicolas Thome Zeitune,2020,Game,,gato-vivo,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
15,IMS Visita,Instituto Moreira Salles,"Confecção de 2 temas originais, mixagem e finalização.",2020,Ad,,ims-visita,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
16,Refresco No EEI ArtRio 2020,Refresco,Participação e confecção de trilha sonora para url do espaço cultural Refresco no EEI ArtRio 2020.,2020,Film,,refresco-no-eei-artrio-2020,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
17,Casa Contexto,Casa Contexto,"Confecção de 2 temas originais, mixagem e finalização.",2020,Ad,,casa-contexto,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
18,Globo Diversidade,Globo,Confeçcão de trilha sonora e mixagem de audio para url institucional da Rede Globo.,2021,Ad,,globo-diversidade,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
19,Refresco no Mira ArtRio 2021,Refresco,"Confecção de trilha sonora, edição e desenho de som de url do espaço Refresco exibido na feira ArtRio 2021.",2021,Film,,refresco-no-mira-artrio-2021,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
20,Supernova,MAM Rio,"Confecção de trilha sonora para urls de apresentação da exposição Supernova, com as artistas Ana Clara Tito, Salissa Rosa, Militina Garcia Serejo e Uyra Sodoma.",2021,Film,,supernova,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
21,Sagrada Geometria,Alix Duvernoy,Uso da faixa “Noite Cartunesca” de Guerrinha para a marca Alix Duvernoy.,2022,Ad,,sagrada-geometria,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
22,50 Anos Blue Man,Blue Man,Confecção de trilha para especial “50 Anos” da Blue Man.,2022,Ad,,50-anos-blue-man,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
23,Contraplano,Haight,Uso da faixa 'Salão dos Infraordinarios' de O Retiro dos Artistas,2022,Ad,,contraplano,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
24,Alix + Farm,Farm,Confecção de trilha.,2024,Ad,,alix-farm,2024-11-30 14:55:47 UTC,2024-11-30 14:55:47 UTC,1
